Report Log 2018-08-04
registrationNo       size     amount   quantity
2                    #2         0.75          1
2                    5m        360.0          3
2                    #2         2.25          3
2                    5m        360.0          3
1                    #2          1.5          2
1                    5m        360.0          3
Report Log 2018-08-06
registrationNo       size     amount   quantity
Report Log 2018-08-09
registrationNo       size     amount   quantity
1                    #4          1.0          1
1                    5m        240.0          2
1                  200m        540.0          3
1                  200g         18.0          1
1                    5m        120.0          1
1                    #4          2.0          2
1                     S         2.25          3
1                  100m        300.0          3
1                  200g         36.0          2
1                    #4          2.0          2
1                    5m        120.0          1
1                     L          2.0          2
1                  200g         54.0          3
1                    5m        240.0          2
1                    #4          4.0          4
1                  100m        400.0          4
1                     M          5.0          5
1                     M          2.0          2
1                  100m        100.0          1
1                  200m        360.0          2
1                  200g         54.0          3
1                     S         0.75          1
1                     M          2.0          2
1                    #2         1.25          1
1                     S         0.75          1
1                  100g         20.0          2
1                     S          9.0          3
1                    7m        300.0          2
1                     M          3.0          3
1                     S          1.5          2
1                     S          1.5          2
2                    #2          1.5          2
2                    5m        480.0          4
Report Log 2018-08-09
registrationNo       size     amount   quantity
1                    #4          1.0          1
1                    5m        240.0          2
1                  200m        540.0          3
1                  200g         18.0          1
1                    5m        120.0          1
1                    #4          2.0          2
1                     S         2.25          3
1                  100m        300.0          3
1                  200g         36.0          2
1                    #4          2.0          2
1                    5m        120.0          1
1                     L          2.0          2
1                  200g         54.0          3
1                    5m        240.0          2
1                    #4          4.0          4
1                  100m        400.0          4
1                     M          5.0          5
1                     M          2.0          2
1                  100m        100.0          1
1                  200m        360.0          2
1                  200g         54.0          3
1                     S         0.75          1
1                     M          2.0          2
1                    #2         1.25          1
1                     S         0.75          1
1                  100g         20.0          2
1                     S          9.0          3
1                    7m        300.0          2
1                     M          3.0          3
1                     S          1.5          2
1                     S          1.5          2
2                    #2          1.5          2
2                    5m        480.0          4
Report Log 2018-08-09
registrationNo       size     amount   quantity
1                    #4          1.0          1
1                    5m        240.0          2
1                  200m        540.0          3
1                  200g         18.0          1
1                    5m        120.0          1
1                    #4          2.0          2
1                     S         2.25          3
1                  100m        300.0          3
1                  200g         36.0          2
1                    #4          2.0          2
1                    5m        120.0          1
1                     L          2.0          2
1                  200g         54.0          3
1                    5m        240.0          2
1                    #4          4.0          4
1                  100m        400.0          4
1                     M          5.0          5
1                     M          2.0          2
1                  100m        100.0          1
1                  200m        360.0          2
1                  200g         54.0          3
1                     S         0.75          1
1                     M          2.0          2
1                    #2         1.25          1
1                     S         0.75          1
1                  100g         20.0          2
1                     S          9.0          3
1                    7m        300.0          2
1                     M          3.0          3
1                     S          1.5          2
1                     S          1.5          2
2                    #2          1.5          2
2                    5m        480.0          4
1                    #4          1.0          1
1                    5m        240.0          2
1                  200m        540.0          3
1                  200g         18.0          1
1                    5m        120.0          1
1                    #4          2.0          2
1                     S         2.25          3
1                  100m        300.0          3
1                  200g         36.0          2
1                    #4          2.0          2
1                    5m        120.0          1
1                     L          2.0          2
1                  200g         54.0          3
1                    5m        240.0          2
1                    #4          4.0          4
1                  100m        400.0          4
1                     M          5.0          5
1                     M          2.0          2
1                  100m        100.0          1
1                  200m        360.0          2
1                  200g         54.0          3
1                     S         0.75          1
1                     M          2.0          2
1                    #2         1.25          1
1                     S         0.75          1
1                  100g         20.0          2
1                     S          9.0          3
1                    7m        300.0          2
1                     M          3.0          3
1                     S          1.5          2
1                     S          1.5          2
2                    #2          1.5          2
2                    5m        480.0          4
